


0.生成新文件    数量：10, 总大小：4.31KB
C++MMap:       文件数量:2000, 总大小:1007371, 文件大小:0.00B ~ 1.00KB, 时间:78.499000ms
C++MMap:       文件数量:2000, 总大小:1007371, 文件大小:0.00B ~ 1.00KB, 时间:78.445000ms
C++MMap:       文件数量:2000, 总大小:1007371, 文件大小:0.00B ~ 1.00KB, 时间:78.062000ms
------------------------------------------------------------------------
C++Read:       文件数量:2000, 总大小:1007371, 文件大小:0.00B ~ 1.00KB, 时间:2140.009000ms
C++Read:       文件数量:2000, 总大小:1007371, 文件大小:0.00B ~ 1.00KB, 时间:86.594000ms
C++Read:       文件数量:2000, 总大小:1007371, 文件大小:0.00B ~ 1.00KB, 时间:102.273000ms
C++Read:       文件数量:2000, 总大小:1007371, 文件大小:0.00B ~ 1.00KB, 时间:88.584000ms
C++Read:       文件数量:2000, 总大小:1007371, 文件大小:0.00B ~ 1.00KB, 时间:92.611000ms
C++Read:       文件数量:2000, 总大小:1007371, 文件大小:0.00B ~ 1.00KB, 时间:84.905000ms
C++Read:       文件数量:2000, 总大小:1007371, 文件大小:0.00B ~ 1.00KB, 时间:87.220000ms
C++Read:       文件数量:2000, 总大小:1007371, 文件大小:0.00B ~ 1.00KB, 时间:95.234000ms
C++Read:       文件数量:2000, 总大小:1007371, 文件大小:0.00B ~ 1.00KB, 时间:112.408000ms
C++Read:       文件数量:2000, 总大小:1007371, 文件大小:0.00B ~ 1.00KB, 时间:87.154000ms



6.生成新文件    数量：10, 总大小：25.41KB
------------------------------------------------------------------------
JavaBuffRead:  文件数量:10, 总大小:26015, 文件大小:1.44KB ~ 3.85KB, 时间:10.165778ms
JavaBuffRead:  文件数量:10, 总大小:26015, 文件大小:1.44KB ~ 3.85KB, 时间:3.834222ms
JavaBuffRead:  文件数量:10, 总大小:26015, 文件大小:1.44KB ~ 3.85KB, 时间:3.704297ms
JavaBuffRead:  文件数量:10, 总大小:26015, 文件大小:1.44KB ~ 3.85KB, 时间:3.610518ms
